text_unit_id,1st_element
論語集註大全-公冶長-11-01,"<canon id=""論語-公冶長-11-01"">○子貢曰：「我不欲人之加諸我也，吾亦欲無加諸人。」子曰：「賜也，非爾所及也。」</canon>"
論語集註大全-公冶長-12-01,"<canon id=""論語-公冶長-12-01"">○子貢曰：「夫子之文章，可得而聞也；夫子之言性與天道，不可得而聞也。」</canon>"
論語集註大全-公冶長-13-01,"<canon id=""論語-公冶長-13-01"">○子路有聞，未之能行，唯恐有聞。</canon>"
論語集註大全-公冶長-14-01,"<canon id=""論語-公冶長-14-01"">○子貢問曰：「孔文子何以謂之文也？」子曰：「敏而好學，不恥下問，是以謂之文也。」</canon>"
論語集註大全-公冶長-15-01,"<canon id=""論語-公冶長-15-01"">○子謂子産：「有君子之道四焉：其行己也恭，其事上也敬，其養民也惠，其使民也義。」</canon>"
論語集註大全-公冶長-16-01,"<canon id=""論語-公冶長-16-01"">○子曰：「晏平仲善與人交，久而敬之。」</canon>"
論語集註大全-公冶長-17-01,"<canon id=""論語-公冶長-17-01"">○子曰：「臧文仲居蔡，山節藻梲，何如其知也？」</canon>"
論語集註大全-公冶長-18-01,"<canon id=""論語-公冶長-18-01"">○子張問曰：「令尹子文三仕爲令尹，無喜色；三已之，無慍色。舊令尹之政，必以告新令尹。何如？」子曰：「忠矣。」曰：「仁矣乎？」曰：「未知，焉得仁？」</canon>"
論語集註大全-公冶長-18-02,"<canon id=""論語-公冶長-18-02"">「崔子弑齊君，陳文子有馬十乘，棄而違之。至於他邦，則曰：『猶吾大夫崔子也。』違之。之一邦，則又曰：『猶吾大夫崔子也。』違之。何如？」子曰：「淸矣。」曰：「仁矣乎？」曰：「未知，焉得仁？」</canon>"
論語集註大全-公冶長-19-01,"<canon id=""論語-公冶長-19-01"">○季文子三思而後行。子聞之曰：「再，斯可矣。」</canon>"
論語集註大全-公冶長-20-01,"<canon id=""論語-公冶長-20-01"">○子曰：「甯武子，邦有道則知，邦無道則愚。其知可及也，其愚不可及也。」</canon>"
論語集註大全-公冶長-21-01,"<canon id=""論語-公冶長-21-01"">○子在陳曰：「歸與！歸與！吾黨之小子狂簡，斐然成章，不知所以裁之。」</canon>"
論語集註大全-公冶長-22-01,"<canon id=""論語-公冶長-22-01"">○子曰：「伯夷、叔齊不念舊惡，怨是用希。」</canon>"
論語集註大全-公冶長-23-01,"<canon id=""論語-公冶長-23-01"">○子曰：「孰謂微生高直？或乞醯焉，乞諸其鄰而與之。」</canon>"
論語集註大全-公冶長-24-01,"<canon id=""論語-公冶長-24-01"">○子曰：「巧言、令色、足恭，左丘明恥之，丘亦恥之。匿怨而友其人，左丘明恥之，丘亦恥之。」</canon>"
論語集註大全-公冶長-25-01,"<canon id=""論語-公冶長-25-01"">○顔淵、季路侍。子曰：「盍各言爾志？」</canon>"
論語集註大全-公冶長-25-02,"<canon id=""論語-公冶長-25-02"">子路曰：「願車馬、衣輕裘，與朋友共，敝之而無憾。」</canon>"
論語集註大全-公冶長-25-03,"<canon id=""論語-公冶長-25-03"">顔淵曰：「願無伐善，無施勞。」</canon>"
論語集註大全-公冶長-25-04,"<canon id=""論語-公冶長-25-04"">子路曰：「願聞子之志。」子曰：「老者安之，朋友信之，少者懷之。」</canon>"
論語集註大全-公冶長-26-01,"<canon id=""論語-公冶長-26-01"">○子曰：「已矣乎！吾未見能見其過而內自訟者也。」</canon>"
論語集註大全-公冶長-27-01,"<canon id=""論語-公冶長-27-01"">○子曰：「十室之邑，必有忠信如丘者焉，不如丘之好學也。」</canon>"
論語集註大全-雍也,"<heading id=""論語-雍也"">論語集註大全 / 雍也</heading>"
論語集註大全-雍也-01-01,"<canon id=""論語-雍也-01-01"">○子曰：「雍也可使南面。」</canon>"
論語集註大全-雍也-01-02,"<canon id=""論語-雍也-01-02"">仲弓問子桑佰子。子曰：「可也簡。」</canon>"
論語集註大全-雍也-01-03,"<canon id=""論語-雍也-01-03"">仲弓曰：「居敬而行簡，以臨其民，不亦可乎？居簡而行簡，無乃大簡乎？」</canon>"
論語集註大全-雍也-01-04,"<canon id=""論語-雍也-01-04"">子曰：「雍之言然。」</canon>"
論語集註大全-雍也-02-01,"<canon id=""論語-雍也-02-01"">○哀公問：「弟子孰爲好學？」孔子對曰：「有顔回者好學，不遷怒，不貳過。不幸短命死矣，今也則亡，未聞好學者也。」</canon>"
論語集註大全-雍也-03-01,"<canon id=""論語-雍也-03-01"">○子華使於齊，冉子爲其母請粟。子曰：「與之釜。」請益。曰：「與之庾。」冉子與之粟五秉。</canon>"
論語集註大全-雍也-03-02,"<canon id=""論語-雍也-03-02"">子曰：「赤之適齊也，乘肥馬，衣輕裘。吾聞之也，君子周急不繼富。」</canon>"
論語集註大全-雍也-03-03,"<canon id=""論語-雍也-03-03"">原思爲之宰，與之粟九百，辭。</canon>"
論語集註大全-雍也-03-04,"<canon id=""論語-雍也-03-04"">子曰：「毋！以與爾鄰里鄕黨乎！」</canon>"
論語集註大全-雍也-04-01,"<canon id=""論語-雍也-04-01"">○子謂仲弓曰：「犁牛之子騂且角，雖欲勿用，山川其舍諸？」</canon>"
論語集註大全-雍也-05-01,"<canon id=""論語-雍也-05-01"">○子曰：「回也，其心三月不違仁，其餘則日月至焉而已。」</canon>"
論語集註大全-雍也-06-01,"<canon id=""論語-雍也-06-01"">○季康子問：「仲由可使從政也與？」子曰：「由也果，於從政乎何有？」曰：「賜也可使從政也與？」曰：「賜也達，於從政乎何有？」曰：「求也可使從政也與？」曰：「求也藝，於從政乎何有？」</canon>"
論語集註大全-雍也-07-01,"<canon id=""論語-雍也-07-01"">○季氏使閔子騫爲費宰。閔子騫曰：「善爲我辭焉！如有復我者，則吾必在汶上矣。」</canon>"
